date,open,high,low,close,volume,money
11/12/2012,100.17,100.17,100.16,100.17,780,78132.6
11/14/2012,100.16,100.16,100.16,100.16,480,48076.8
11/15/2012,100.17,100.18,100.08,100.18,1430,143257.4
11/16/2012,100.14,100.38,100.14,100.19,10580,1060010.2
11/19/2012,100.18,100.32,100.02,100.06,2530,253151.8
11/20/2012,100.18,100.19,100.18,100.19,550,55104.5
11/21/2012,100.24,100.37,100.24,100.37,700,70259
11/23/2012,99.57,100.7,99.57,100.2,1040,104208
11/26/2012,100.32,100.32,100.22,100.22,150,15033
11/27/2012,100.29,100.3,100.22,100.22,490,49107.8
11/28/2012,100.13,100.13,100.1,100.1,310,31031
11/29/2012,100.29,100.29,100.29,100.29,100,10029
11/30/2012,100.29,100.3,100.29,100.3,240,24072
12/3/2012,100.15,100.18,100.15,100.18,200,20036
12/4/2012,100.15,100.37,100.15,100.37,150,15055.5
12/5/2012,100.18,100.18,100.18,100.18,50,5009
12/6/2012,100.1,100.16,100.1,100.16,1230,123196.8
12/7/2012,100.1,100.1,100.08,100.09,300,30027
12/10/2012,100.09,100.09,99.96,99.98,1170,116976.6
12/11/2012,99.98,99.98,99.98,99.98,630,62987.4
12/12/2012,100,100.15,100,100.13,1040,104135.2
12/13/2012,100,100.18,100,100.18,230,23041.4
12/14/2012,100.05,100.05,100.01,100.05,730,73036.5
12/17/2012,100.11,100.19,100.11,100.15,190,19028.5
12/18/2012,100.01,100.12,99.9,100.12,370,37044.4
12/20/2012,100,100,99.79,99.88,470,46943.6
12/24/2012,99.8,100.05,99.8,100.05,940,94047
12/25/2012,100.05,100.05,100.05,100.05,100,10005
12/26/2012,100,100.08,100,100.01,1140,114011.4
12/31/2012,100.09,100.1,100.05,100.05,130,13006.5
1/4/2013,100,100,99.9,99.99,890,88991.1
1/7/2013,100,100,99.96,100,870,87000
1/8/2013,99.98,100,99.98,100,720,72000
1/9/2013,99.98,99.99,99.97,99.99,580,57994.2
1/10/2013,99.98,99.98,99.88,99.95,330,32983.5
1/11/2013,99.95,99.95,99.95,99.95,50,4997.5
1/14/2013,99.97,99.97,99.95,99.97,390,38988.3
1/15/2013,99.92,99.97,99.92,99.97,470,46985.9
1/16/2013,100,100,99.96,99.96,2360,235905.6
1/17/2013,99.98,99.98,99.95,99.95,450,44977.5
1/18/2013,99.99,99.99,99.94,99.95,2120,211894
1/21/2013,99.94,99.95,99.94,99.95,230,22988.5
1/22/2013,99.91,99.91,99.91,99.91,450,44959.5
1/23/2013,99.92,99.98,99.91,99.95,1830,182908.5
1/24/2013,99.97,99.97,99.97,99.97,50,4998.5
1/25/2013,99.97,99.99,99.97,99.99,1630,162983.7
1/28/2013,99.91,100,99.91,100,300,30000
1/29/2013,99.95,100,99.95,99.95,570,56971.5
1/30/2013,99.99,99.99,99.93,99.93,50,4996.5
1/31/2013,100,100.15,99.87,99.9,980,97902
2/1/2013,100,100,99.99,99.99,1450,144985.5
2/4/2013,99.99,100,99.92,100,940,94000
2/5/2013,100.1,100.1,99.96,99.97,1840,183944.8
2/6/2013,99.98,100.09,99.97,100.01,810,81008.1
2/7/2013,99.98,100.07,99.97,99.99,620,61993.8
2/8/2013,100.01,100.18,100.01,100.15,1730,173259.5
2/18/2013,100,100.1,99.9,100,1800,180000
2/19/2013,99.94,100,99.94,100,2060,206000
2/20/2013,100,100,99.98,100,3570,357000
2/21/2013,99.95,100,99.94,100,10700,1070000
2/22/2013,100.05,100.05,100,100.05,9760,976488
2/25/2013,100.1,100.1,100.01,100.03,3400,340102
2/26/2013,100,100.08,100,100.05,3420,342171
