,bond_id,cfets,broker,cfets-mean,cfets-std,cfets-z-score-c,cfets-z-score,broker-z-score,cfets-p,broker-p,cfets-p-z,broker-p-z,Vol,cfets-zs-grp,broker-zs-grp,cfets-p-z-grp,broker-p-z-grp,Vol-z-grp
77,230001.IB,3840000000.0,48,2100958705.8823528,12850756116.523327,0.13532599003117113,0.13559211809556154,0.03148507782691386,85,70,85.13559211809556,70.03148507782691,77.58353859796124,0.24768441220828794,1.6567607035399654,85.24768441220829,71.65676070353996,78.45222255787412
78,180023.IB,2207860000.0,6,2100958705.8823528,12850756116.523327,0.008318677371847012,0.008335036635183994,-0.180727120742153,70,50,70.00833503663519,49.819272879257845,59.91380395794651,2.6535361218034614,-0.158755955471303,72.65353612180346,49.8412440445287,61.24739008316608
79,160210.IB,2040000000.0,31,2100958705.8823528,12850756116.523327,-0.004743589040957128,-0.004752917641985228,-0.054410335879613206,70,70,69.99524708235802,69.94558966412039,69.9704183732392,2.0174379245481036,-0.6238005887822539,72.0174379245481,69.37619941121774,70.69681866788292
80,200016.IB,1186500000.0,14,2100958705.8823528,12850756116.523327,-0.07115991445099128,-0.07129985542087199,-0.14030574958614028,70,50,69.92870014457912,49.85969425041386,59.894197197496496,-1.2168633464959102,1.0314981190570005,68.78313665350409,51.031498119057,59.90731738628054
81,220402.IB,255370000.0,4,2100958705.8823528,12850756116.523327,-0.14361712954067504,-0.14389956271326193,-0.19083246353115618,50,50,49.85610043728674,49.80916753646884,49.832633986877795,-0.3003606912607785,-0.45631947410337886,49.69963930873922,49.54368052589662,49.62165991731792
82,150210.IB,1200000000.0,24,2100958705.8823528,12850756116.523327,-0.07010939260795032,-0.07024726765284038,-0.08977903564112436,70,50,69.92975273234715,49.91022096435888,59.91998684835302,-1.1657056814003106,2.51931571221738,68.83429431859969,52.51931571221738,60.67680501540853
83,180210.IB,594400000.0,22,2100958705.8823528,12850756116.523327,-0.1172350243224397,-0.11746557523209501,-0.09988437843012754,50,50,49.882534424767904,49.900115621569874,49.89132502316889,0.8177249743917524,2.2217521935853037,50.81772497439175,52.2217521935853,51.51973858398853
84,190305.IB,1800000000.0,24,2100958705.8823528,12850756116.523327,-0.023419532917240894,-0.02346558907365813,-0.08977903564112436,70,50,69.97653441092635,49.91022096435888,59.94337768764261,1.1079683228485564,2.51931571221738,71.10796832284856,52.51931571221738,61.81364201753297
85,220013.IB,730000000.0,31,2100958705.8823528,12850756116.523327,-0.10668311603233936,-0.10689291587319982,-0.054410335879613206,50,70,49.8931070841268,69.94558966412039,59.919348374123594,1.2649196659013038,-0.6238005887822539,51.2649196659013,69.37619941121774,60.32055953855952
86,200410.IB,1030000000.0,32,2100958705.8823528,12850756116.523327,-0.08333818618698464,-0.0835020765836087,-0.04935766448511161,50,70,49.916497923416394,69.95064233551489,59.933570129465636,2.25428845242686,-0.4896499245280057,52.25428845242686,69.51035007547199,60.88231926394943
87,210012.IB,889730000.0,21,2100958705.8823528,12850756116.523327,-0.09425349721834433,-0.09443885334077852,-0.10493704982462913,50,50,49.905561146659224,49.89506295017537,49.9003120484173,1.7916925868070603,2.072970434269266,51.79169258680706,52.072970434269266,51.93233151053816
88,220005.IB,1096000000.0,19,2100958705.8823528,12850756116.523327,-0.07820230162100661,-0.07835609193989865,-0.1150423926136323,50,50,49.921643908060105,49.88495760738637,49.90330075772324,2.471949585462482,1.77540691563719,52.47194958546248,51.77540691563719,52.12367825054984
89,210009.IB,694640000.0,24,2100958705.8823528,12850756116.523327,-0.1094347050967785,-0.10964991613079962,-0.08977903564112436,50,50,49.8903500838692,49.91022096435888,49.90028552411404,1.1483060649294916,2.51931571221738,51.14830606492949,52.51931571221738,51.83381088857344
